player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
5,dynamic_network_2,0,9,60,15,"[4, 0]",6.0,hard,4,3,,2,51,6,6.0,-210.0,0
5,dynamic_network_2,1,78,25,20,"[1, 4]",58.0,hard,4,0,,2,53,58,64.0,58.0,1
5,dynamic_network_2,2,91,40,65,"[0, 1]",26.0,hard,1,4,,2,51,26,90.0,26.0,2
5,dynamic_network_2,3,47,5,15,"[4, 3]",32.0,hard,0,1,,2,42,32,122.0,32.0,3
5,dynamic_network_2,4,8,20,11,"[3, 0]",3.0,hard,4,3,,2,12,3,125.0,3.0,4
5,dynamic_network_2,5,27,30,5,"[1, 2]",22.0,medium,3,0,,2,3,22,147.0,22.0,5
5,dynamic_network_2,6,58,35,40,"[1, 0]",17.999999999999993,medium,1,2,,2,23,18,165.0,18.0,6
5,dynamic_network_2,7,78,50,65,"[0, 2]",13.0,medium,1,0,,2,28,13,178.0,13.0,7
5,dynamic_network_2,8,3,5,40,"[0, 1]",37.0,medium,0,2,,2,2,37,215.0,37.0,8
5,dynamic_network_2,9,8,55,20,,12.0,medium,0,1,,2,47,12,227.0,12.0,9
